Apple,Genres,IMDb,Rotten Tomatoes,Title,Year
true,Comedy,7.3,80,Physical,2021
true,Drama,8.4,80,The Morning Show,2019
true,Drama,6.4,66,Mr. Corman,2021
true,Drama,7.9,89,Defending Jacob,2020
true,Scifi,7.5,60,Foundation,2021
true,Drama,6.6,75,Losing Alice,2021
true,Drama,7.2,80,Little Voice,2020
true,Mystery thriller,7.5,82,Home Before Dark,2020
true,Drama,7.5,76,Servant,2019
true,Health wellness,5.3,68,"The Me You Can't See",2021
true,History,7.9,85,For All Mankind,2020
true,Drama,7.4,86,Dickinson,2019
true,Musical,7.3,85,Schmigadoon!,2021
true,Drama,7.7,94,Trying,2020
true,Horror,7.7,86,Calls,2021
true,Comedy,7.5,78,Little America,2020
true,Animation,6.8,78,Central Park,2020
true,Comedy,7.7,85,Mythic Quest,2020
true,LGBTQ,7.4,100,Visible: Out on Television,2020
true,Documentary,7.5,62,1971: The Year that Music Changed Everything,2021
true,Comedy,8.8,95,Ted Lasso,2020