Title,Year,IMDb,Rotten Tomatoes,Netflix,Hulu,Prime Video,Disney+,HBO,Apple
Game of Thrones,2011,9.3,89,0,0,0,0,1,0
Rick and Morty,2013,9.2,94,0,0,0,0,1,0
Chernobyl,2019,9.4,96,0,0,0,0,1,0
Friends,1994,8.9,78,0,0,0,0,1,0
The Wire,2002,9.3,94,0,0,0,0,1,0
Band of Brothers,2001,9.4,94,0,0,0,0,1,0
The Sopranos,1999,9.2,92,0,0,0,0,1,0
Westworld,2016,8.7,83,0,0,0,0,1,0
True Detective,2014,9,78,0,0,0,0,1,0
Fullmetal Alchemist: Brotherhood,2009,9.1,100,0,0,0,0,1,0
South Park,1997,8.7,82,0,0,0,0,1,0
The Big Bang Theory,2007,8.1,82,0,0,0,0,1,0
Last Week Tonight with John Oliver,2014,8.9,98,0,0,0,0,1,0
Silicon Valley,2014,8.5,94,0,0,0,0,1,0
Adventure Time,2010,8.6,100,0,0,0,0,1,0
Big Little Lies,2017,8.5,89,0,0,0,0,1,0
Rome,2005,8.7,86,0,0,0,0,1,0
Luther,2010,8.5,88,0,0,0,0,1,0
Boardwalk Empire,2010,8.5,92,0,0,0,0,1,0
Curb Your Enthusiasm,2000,8.7,92,0,0,0,0,1,0
Pride and Prejudice,1995,8.8,88,0,0,0,0,1,0
Pride and Prejudice,1995,8.8,88,0,0,0,0,1,0
The Night Of,2016,8.5,94,0,0,0,0,1,0
Pretty Little Liars,2010,7.4,81,0,0,0,0,1,0
Six Feet Under,2001,8.7,81,0,0,0,0,1,0
Deadwood,2004,8.6,92,0,0,0,0,1,0
The Leftovers,2014,8.3,91,0,0,0,0,1,0
Barry,2018,8.3,99,0,0,0,0,1,0
Watchmen,2019,8.1,95,0,0,0,0,1,0
Succession,2018,8.5,92,0,0,0,0,1,0
Euphoria,2019,8.3,82,0,0,0,0,1,0
The Pacific,2010,8.3,91,0,0,0,0,1,0
The Office,2001,8.5,96,0,0,0,0,1,0
Veep,2012,8.3,93,0,0,0,0,1,0
Sharp Objects,2018,8.2,92,0,0,0,0,1,0
Oz,1997,8.7,89,0,0,0,0,1,0
The Outsider,2020,7.9,82,0,0,0,0,1,0
True Blood,2008,7.8,70,0,0,0,0,1,0
Doom Patrol,2019,8,95,0,0,0,0,1,0
The Newsroom,2012,8.6,59,0,0,0,0,1,0
Entourage,2004,8.4,66,0,0,0,0,1,0
His Dark Materials,2019,7.9,80,0,0,0,0,1,0
The Jinx: The Life and Deaths of Robert Durst,2015,8.7,95,0,0,0,0,1,0
My Brilliant Friend,2018,8.6,96,0,0,0,0,1,0
Eastbound & Down,2009,8.2,91,0,0,0,0,1,0
Flight of the Conchords,2007,8.5,94,0,0,0,0,1,0
Years and Years,2019,8.4,89,0,0,0,0,1,0
The Boondocks,2005,8.4,54,0,0,0,0,1,0
The Thick of It,2005,8.7,85,0,0,0,0,1,0
Generation Kill,2008,8.5,86,0,0,0,0,1,0
Insecure,2016,7.9,96,0,0,0,0,1,0
Inside No. 9,2014,8.5,100,0,0,0,0,1,0
John Adams,2008,8.5,81,0,0,0,0,1,0
Teen Titans,2003,7.8,92,0,0,0,0,1,0
Mildred Pierce,2011,7.7,81,0,0,0,0,1,0
Mildred Pierce,2011,7.7,81,0,0,0,0,1,0
Primal,2019,8.7,100,0,0,0,0,1,0
The Deuce,2017,8.1,93,0,0,0,0,1,0
The Alienist,2018,7.7,66,0,0,0,0,1,0
I Know This Much Is True,2020,8.2,73,0,0,0,0,1,0
The O.C.,2003,7.5,68,0,0,0,0,1,0
The Defiant Ones,2017,8.5,100,0,0,0,0,1,0
Sex and the City,1998,7.1,71,0,0,0,0,1,0
Ballers,2015,7.6,72,0,0,0,0,1,0
Angels in America,2003,8.2,90,0,0,0,0,1,0
Gavin & Stacey,2007,8.1,97,0,0,0,0,1,0
Emma,2009,8.1,83,0,0,0,0,1,0
Emma,2009,8.1,83,0,0,0,0,1,0
Looking,2014,8.2,90,0,0,0,0,1,0
Gentleman Jack,2019,8.2,90,0,0,0,0,1,0
The Righteous Gemstones,2019,8.1,75,0,0,0,0,1,0
Vice Principals,2016,8,83,0,0,0,0,1,0
Girls,2012,7.3,89,0,0,0,0,1,0
Treme,2010,8.2,97,0,0,0,0,1,0
Home Movies,1999,8,100,0,0,0,0,1,0
Wallander,2008,7.9,88,0,0,0,0,1,0
Search Party,2016,7.5,96,0,0,0,0,1,0
The Plot Against America,2020,7.3,86,0,0,0,0,1,0
In Treatment,2008,8.3,88,0,0,0,0,1,0
Bored to Death,2009,7.9,79,0,0,0,0,1,0
Show Me a Hero,2015,8.1,96,0,0,0,0,1,0
Mr. Show with Bob and David,1995,8.3,100,0,0,0,0,1,0
High Maintenance,2016,8,98,0,0,0,0,1,0
High Maintenance,2016,8,98,0,0,0,0,1,0
The Closer,2005,7.6,82,0,0,0,0,1,0
The Larry Sanders Show,1992,8.4,100,0,0,0,0,1,0
Legendary,2020,7.1,92,0,0,0,0,1,0
McMillion$,2020,7.2,88,0,0,0,0,1,0
We're Here,2020,8,100,0,0,0,0,1,0
Perry Mason,2020,7.2,80,0,0,0,0,1,0
Love Life,2020,7.4,59,0,0,0,0,1,0
Whitechapel,2009,7.9,75,0,0,0,0,1,0
Vinyl,2016,7.8,74,0,0,0,0,1,0
Togetherness,2015,7.5,90,0,0,0,0,1,0
Crashing,2017,7.5,90,0,0,0,0,1,0
Mrs. Fletcher,2019,7,84,0,0,0,0,1,0
Craig of the Creek,2018,7.3,100,0,0,0,0,1,0
Big Love,2006,7.6,80,0,0,0,0,1,0
RUN,2020,6.3,82,0,0,0,0,1,0
The New Pope,2020,8.2,90,0,0,0,0,1,0
Enlightened,2011,7.5,87,0,0,0,0,1,0
Avenue 5,2020,6.4,66,0,0,0,0,1,0
Looney Tunes Cartoons,2020,8.3,88,0,0,0,0,1,0
Men of a Certain Age,2009,8,94,0,0,0,0,1,0
The Comeback,2005,8,72,0,0,0,0,1,0
Hung,2009,7.1,71,0,0,0,0,1,0
Olive Kitteridge,2014,8.3,95,0,0,0,0,1,0
Our Boys,2019,7.4,93,0,0,0,0,1,0
How to Make It in America,2010,7.9,66,0,0,0,0,1,0
The Brink,2015,7.8,55,0,0,0,0,1,0
Life's Too Short,2011,7.5,53,0,0,0,0,1,0
Batwoman,2019,3.6,79,0,0,0,0,1,0
Getting On,2013,7.8,92,0,0,0,0,1,0
Atlanta's Missing and Murdered: The Lost Children,2020,7.2,94,0,0,0,0,1,0
Tell Me You Love Me,2007,7.3,62,0,0,0,0,1,0
At Home with Amy Sedaris,2017,7.6,100,0,0,0,0,1,0
Nancy Drew,2019,6,53,0,0,0,0,1,0
Los Espookys,2019,7.5,100,0,0,0,0,1,0
Ghosts,2019,7.8,100,0,0,0,0,1,0
Animals.,2016,7.2,84,0,0,0,0,1,0
Room 104,2017,6.1,88,0,0,0,0,1,0
Betty,2020,6.3,96,0,0,0,0,1,0
Divorce,2016,6.8,77,0,0,0,0,1,0
Beware the Batman,2013,7.3,82,0,0,0,0,1,0
Gunpowder,2017,6.6,72,0,0,0,0,1,0
Hello Ladies,2013,7.4,52,0,0,0,0,1,0
Family Tree,2013,7.4,81,0,0,0,0,1,0
The Not Too Late Show with Elmo,2020,7.8,80,0,0,0,0,1,0
Miss Sherlock,2018,7.1,100,0,0,0,0,1,0
Sally4Ever,2018,6.5,97,0,0,0,0,1,0
A Black Lady Sketch Show,2019,7.1,100,0,0,0,0,1,0
Wyatt Cenac's Problem Areas,2018,6.5,100,0,0,0,0,1,0
Mosaic,2018,6.4,78,0,0,0,0,1,0
Here and Now,2018,6.8,24,0,0,0,0,1,0
Stath Lets Flats,2018,7.3,100,0,0,0,0,1,0
The Movies,2019,7.8,67,0,0,0,0,1,0
John from Cincinnati,2007,7.1,58,0,0,0,0,1,0
The Case Against Adnan Syed,2019,6.6,82,0,0,0,0,1,0
Almost Royal,2014,7.2,75,0,0,0,0,1,0
Capadocia,2008,8.1,,0,0,0,0,1,0
The Yogi Bear Show,1958,6.6,,0,0,0,0,1,0
Five Days,2007,6.7,78,0,0,0,0,1,0
Katy Keene,2020,6.1,90,0,0,0,0,1,0
The Eighties,2016,8.3,,0,0,0,0,1,0
The Bachelorette,2003,3.4,62,0,0,0,0,1,0
The Bachelorette,2003,3.4,62,0,0,0,0,1,0
Knowing Me Knowing You with Alan Partridge,1994,8.2,,0,0,0,0,1,0
91 Days,2016,7.7,,0,0,0,0,1,0
The Bronze Garden,2017,8,,0,0,0,0,1,0
Blinded by the Lights,2018,7.8,,0,0,0,0,1,0
The Casual Vacancy,2015,6.6,58,0,0,0,0,1,0
Kiznaiver,2016,6.9,,0,0,0,0,1,0
The Seventies,2015,8.3,,0,0,0,0,1,0
2 Dope Queens,2018,5.5,94,0,0,0,0,1,0
Bedlam,2011,6.6,44,0,0,0,0,1,0
Little Big Shots,2016,7.2,,0,0,0,0,1,0
Bachelor in Paradise,2014,5.2,,0,0,0,0,1,0
Sr. Ávila,2013,8.3,,0,0,0,0,1,0
Hard,2020,6.2,,0,0,0,0,1,0
Full Frontal with Samantha Bee,2016,5.7,,0,0,0,0,1,0
Folklore,2018,5.7,88,0,0,0,0,1,0
Rokka: Braves of the Six Flowers,2015,6.9,,0,0,0,0,1,0
Summer Camp Island,2018,7.4,,0,0,0,0,1,0
The Silent Valley,2016,6.7,,0,0,0,0,1,0
The Pact,2015,7.4,,0,0,0,0,1,0
The Pact,2015,7.4,,0,0,0,0,1,0
Supernanny,2004,6,,0,0,0,0,1,0
Tracey Ullman's Show,2016,7,95,0,0,0,0,1,0
Keep Your Hands Off Eizouken!,2020,8.2,,0,0,0,0,1,0
Fugitives,2011,8.1,,0,0,0,0,1,0
Magnifica 70,2015,7.8,,0,0,0,0,1,0
The Bachelor,2002,3.2,,0,0,0,0,1,0
This Is Life with Lisa Ling,2014,7.7,,0,0,0,0,1,0
Real Sports with Bryant Gumbel,1995,7.2,,0,0,0,0,1,0
Trigonometry,2020,6.6,80,0,0,0,0,1,0
In/Spectre,2020,6.7,,0,0,0,0,1,0
Craftopia,2020,6,83,0,0,0,0,1,0
Hackerville,2018,7.4,,0,0,0,0,1,0
Epitaphs,2004,7.9,,0,0,0,0,1,0
Funny or Die Presents,2010,5.6,100,0,0,0,0,1,0
Zapped,2016,6.7,,0,0,0,0,1,0
Butterfly effect,2016,8.9,,0,0,0,0,1,0
United Shades of America,2016,6.6,,0,0,0,0,1,0
Crashbox,1999,8.3,,0,0,0,0,1,0
El Pionero,2019,7.3,,0,0,0,0,1,0
Uncle Grandpa,2013,4.2,,0,0,0,0,1,0
One Night Stand,1989,8.2,,0,0,0,0,1,0
The Shop: Uninterrupted,2018,6.6,,0,0,0,0,1,0
Camping,2018,4.8,27,0,0,0,0,1,0
Mamon,2015,7.4,,0,0,0,0,1,0
Pinky Dinky Doo,2006,6.2,,0,0,0,0,1,0
Todxs Nos,2020,6,,0,0,0,0,1,0
HBO Comedy Half-Hour,1994,7.9,,0,0,0,0,1,0
Food Lore,2019,7.2,,0,0,0,0,1,0
Home,2019,7.9,,0,0,0,0,1,0
Happily Ever After: Fairy Tales for Every Child,1995,6.4,,0,0,0,0,1,0
Santos Dumont,2019,7.2,,0,0,0,0,1,0
Peanuts,2016,7.3,,0,0,0,0,1,0
Grace,2018,5.8,,0,0,0,0,1,0
Victor and Valentino,2019,6.2,,0,0,0,0,1,0
Psi,2014,8.2,,0,0,0,0,1,0
Kindergarten,2001,8.6,,0,0,0,0,1,0
1968: The Year That Changed America,2018,7.8,,0,0,0,0,1,0
Axios,2018,5.8,,0,0,0,0,1,0
Classical Baby,2005,8.6,,0,0,0,0,1,0
Alice,2008,7.6,,0,0,0,0,1,0
Bachelor Pad,2010,4.7,,0,0,0,0,1,0
The Misadventures of Romesh Ranganathan,2018,7.8,,0,0,0,0,1,0
The Chris Gethard Show,2011,8.1,,0,0,0,0,1,0
Head Over Heels,2014,7.5,,0,0,0,0,1,0
Hack My Life,2015,6.3,,0,0,0,0,1,0
Being Serena,2018,5.7,89,0,0,0,0,1,0
Deep Time History,2016,8.5,,0,0,0,0,1,0
Mighty Magiswords,2015,4.9,,0,0,0,0,1,0
The Secret Life of Couples,2017,6,,0,0,0,0,1,0
The Alzheimer's Project,2009,8.1,,0,0,0,0,1,0
Ocean Mysteries with Jeff Corwin,2011,8.2,,0,0,0,0,1,0
El Perro y el Gato,2004,8.1,,0,0,0,0,1,0
Josie and the Pussy Cats in Outer Space,1972,6.9,,0,0,0,0,1,0
Stephen Hawking's Favorite Places,2016,8.8,,0,0,0,0,1,0
Esme & Roy,2018,6.7,,0,0,0,0,1,0
The Ascent of Money,2008,8,,0,0,0,0,1,0
Down and Dirty with Jim Norton,2008,7.3,,0,0,0,0,1,0
Leaps In Evolution,2015,7.5,,0,0,0,0,1,0
A Little Curious,1998,7.1,,0,0,0,0,1,0
Dios Inc.,2016,6.4,,0,0,0,0,1,0
On Tour with Asperger's Are Us,2019,7.1,,0,0,0,0,1,0
The Bachelor NZ,2015,5.6,,0,0,0,0,1,0
On Freddie Roach,2012,7.3,,0,0,0,0,1,0
Single Long,2012,8.1,,0,0,0,0,1,0
24/7 College Football,2019,7.6,,0,0,0,0,1,0
Paddington Bear,1989,7.7,,0,0,0,0,1,0
All Def Comedy,2017,6.8,,0,0,0,0,1,0
The Bachelor Canada,2012,5.9,,0,0,0,0,1,0
Cowboy Builders,2009,6.6,,0,0,0,0,1,0
4th and Forever,2011,6.2,,0,0,0,0,1,0
Schwarzes Marken,2016,5.9,,0,0,0,0,1,0
Tourgasm,2006,5,,0,0,0,0,1,0
Dream the Future,2016,7.5,,0,0,0,0,1,0
First Dates Canada,2015,7.1,,0,0,0,0,1,0
The Weight of the Nation,2012,7.1,,0,0,0,0,1,0
Innovation Nation,2011,6.9,,0,0,0,0,1,0
Russell Simmons Presents Brave New Voices,2009,6.2,,0,0,0,0,1,0
Life on Fire,2010,8.3,,0,0,0,0,1,0
Stacey Dooley Investigates,2009,6.3,,0,0,0,0,1,0
Underwater Wonders of the National Parks,2016,6.2,,0,0,0,0,1,0
Space Probes!,2016,8.2,,0,0,0,0,1,0
Jack Hanna's Wild Countdown,2011,8.4,,0,0,0,0,1,0
SeNT,2017,5.6,,0,0,0,0,1,0
Heroes Cotidianos,2014,6.1,,0,0,0,0,1,0
Search for Second Earth,2018,7.8,,0,0,0,0,1,0
