Position,Const,Created,Modified,Description,Title,URL,Title Type,IMDb Rating,Runtime (mins),Year,Genres,Num Votes,Release Date,Directors,Your Rating,Date Rated, Service
1,tt10986410,2021-10-11,2021-10-11,,Ted Lasso,https://www.imdb.com/title/tt10986410/,tvSeries,8.8,30,2020,"Comedy, Drama, Sport",111413,2020-08-14, A,,,
2,tt10919420,2021-10-11,2021-10-11,,Squid Game,https://www.imdb.com/title/tt10919420/,tvSeries,8.2,60,2021,"Action, Adventure, Drama, Mystery, Thriller",147047,2021-09-17, N,,,
3,tt10574558,2021-10-11,2021-10-11,,Midnight Mass,https://www.imdb.com/title/tt10574558/,tvMiniSeries,7.8,450,2021,"Drama, Horror, Mystery",39527,2021-09-22, N,,,
4,tt10986410,2021-10-11,2021-10-11,,Ted Lasso,https://www.imdb.com/title/tt10986410/,tvSeries,8.8,30,2020,"Comedy, Drama, Sport",111413,2020-08-14, A,,,
5,tt0804484,2021-10-11,2021-10-11,,Foundation,https://www.imdb.com/title/tt0804484/,tvSeries,7.5,,2021,"Drama, Sci-Fi",13673,2021-09-24, A,,,
6,tt10168312,2021-10-11,2021-10-11,,What If...?,https://www.imdb.com/title/tt10168312/,tvSeries,7.6,,2021,"Animation, Action, Adventure, Fantasy",46687,2021-08-11,,,
7,tt12851524,2021-10-11,2021-10-11,,Only Murders in the Building,https://www.imdb.com/title/tt12851524/,tvSeries,8.3,,2021,"Comedy, Crime, Drama, Mystery, Thriller",19463,2021-08-31, h,,,
8,tt8760932,2021-10-11,2021-10-11,,Nine Perfect Strangers,https://www.imdb.com/title/tt8760932/,tvMiniSeries,7.1,388,2021,"Drama, Mystery, Thriller",26288,2021-08-18, h,,,
9,tt11640018,2021-10-11,2021-10-11,,La Brea,https://www.imdb.com/title/tt11640018/,tvSeries,5.1,,2021,"Drama, Mystery, Sci-Fi",2349,2021-09-28,,,
10,tt7203552,2021-10-11,2021-10-11,,The Morning Show,https://www.imdb.com/title/tt7203552/,tvSeries,8.4,60,2019,Drama,72115,2019-10-28, A,,,
11,tt10834220,2021-10-11,2021-10-11,,The Chestnut Man,https://www.imdb.com/title/tt10834220/,tvSeries,8.0,50,2021,"Crime, Drama, Mystery, Thriller",10141,2021-09-29, N,,,
12,tt11846996,2021-10-11,2021-10-11,,Vigil,https://www.imdb.com/title/tt11846996/,tvSeries,7.4,,2021,"Crime, Drama, Mystery, Thriller",9116,2021-08-29,,,
13,tt13622982,2021-10-11,2021-10-11,,Star Wars: Visions,https://www.imdb.com/title/tt13622982/,tvSeries,7.3,,2021,"Animation, Action, Adventure, Fantasy, Sci-Fi",8190,2021-09-22,,,
14,tt8042500,2021-10-11,2021-10-11,,Y: The Last Man,https://www.imdb.com/title/tt8042500/,tvSeries,6.3,60,2021,"Action, Adventure, Drama, Sci-Fi",6471,2021-09-13, h,,,
15,tt10888878,2021-10-11,2021-10-11,,Clickbait,https://www.imdb.com/title/tt10888878/,tvMiniSeries,7.3,368,2021,"Crime, Drama, Mystery, Thriller",32433,2021-08-25, N,,,
16,tt10795658,2021-10-11,2021-10-11,,Alice in Borderland,https://www.imdb.com/title/tt10795658/,tvSeries,7.7,50,2020,"Action, Fantasy, Mystery, Sci-Fi, Thriller",30077,2020-12-10, N,,,
17,tt7949218,2021-10-11,2021-10-11,,See,https://www.imdb.com/title/tt7949218/,tvSeries,7.6,60,2019,"Action, Drama, Sci-Fi",57716,2019-11-01, A,,,
18,tt5180504,2021-10-11,2021-10-11,,The Witcher,https://www.imdb.com/title/tt5180504/,tvSeries,8.2,60,2019,"Action, Adventure, Fantasy, Mystery",352247,2019-12-20, N,,,
19,tt12682218,2021-10-11,2021-10-11,,Scenes from a Marriage,https://www.imdb.com/title/tt12682218/,tvMiniSeries,8.0,60,2021,Drama,4074,2021-09-04, H,,,
20,tt11337908,2021-10-11,2021-10-11,,Maid,https://www.imdb.com/title/tt11337908/,tvMiniSeries,8.6,545,2021,Drama,11240,2021-10-01,,,
21,tt13406094,2021-10-11,2021-10-11,,The White Lotus,https://www.imdb.com/title/tt13406094/,tvSeries,7.7,353,2021,"Comedy, Drama",35774,2021-07-11, H,,,
22,tt10155688,2021-10-11,2021-10-11,,Mare of Easttown,https://www.imdb.com/title/tt10155688/,tvMiniSeries,8.5,60,2021,"Crime, Drama, Mystery",107183,2021-04-18, H,,,
23,tt3850598,2021-10-11,2021-10-11,,Black Mafia Family,https://www.imdb.com/title/tt3850598/,tvSeries,6.8,,2021,"Biography, Crime, Drama",727,2021-09-26,,,
24,tt10478054,2021-10-11,2021-10-11,,The Lost Symbol,https://www.imdb.com/title/tt10478054/,tvSeries,6.7,,2021,"Action, Adventure, Drama, Mystery, Thriller",2325,2021-09-16,,,
25,tt1532495,2021-10-11,2021-10-11,,American Rust,https://www.imdb.com/title/tt1532495/,tvSeries,6.9,,2021,"Crime, Drama",1584,2021-09-05,,,
26,tt11794642,2021-10-11,2021-10-11,,Big Sky,https://www.imdb.com/title/tt11794642/,tvSeries,6.7,60,2020,"Crime, Drama, Mystery, Thriller",10942,2020-11-17,,,
27,tt8111088,2021-10-11,2021-10-11,,The Mandalorian,https://www.imdb.com/title/tt8111088/,tvSeries,8.8,40,2019,"Action, Adventure, Sci-Fi",358273,2019-11-12, N,,,
28,tt13278100,2021-10-11,2021-10-11,,Braqueurs,https://www.imdb.com/title/tt13278100/,tvSeries,7.0,44,2021,"Action, Crime, Drama, Thriller",1208,2021-09-24, N,,,
29,tt9288826,2021-10-11,2021-10-11,,Ordinary Joe,https://www.imdb.com/title/tt9288826/,tvSeries,6.6,,2021,Drama,1188,2021-09-20,,,
30,tt14218674,2021-10-11,2021-10-11,,NCIS: Hawai'i,https://www.imdb.com/title/tt14218674/,tvSeries,5.4,,2021,"Action, Crime",1438,2021-09-20,,,
31,tt8740790,2021-10-11,2021-10-11,,Bridgerton,https://www.imdb.com/title/tt8740790/,tvSeries,7.3,60,2020,"Drama, Romance",88946,2020-12-25, N,,,
32,tt12677870,2021-10-11,2021-10-11,,Law & Order: Organized Crime,https://www.imdb.com/title/tt12677870/,tvSeries,7.6,,2021,"Crime, Drama, Mystery, Thriller",4031,2021-04-01,,,
33,tt10970552,2021-10-11,2021-10-11,,The Haunting of Bly Manor,https://www.imdb.com/title/tt10970552/,tvMiniSeries,7.4,494,2020,"Drama, Horror, Mystery, Thriller",83454,2020-10-09, N,,,
34,tt9140554,2021-10-11,2021-10-11,,Loki,https://www.imdb.com/title/tt9140554/,tvSeries,8.3,,2021,"Action, Adventure, Fantasy, Sci-Fi",205035,2021-06-09, D,,,
35,tt12306692,2021-10-11,2021-10-11,,American Horror Stories,https://www.imdb.com/title/tt12306692/,tvSeries,6.1,45,2021,"Drama, Horror, Thriller",11976,2021-07-15, H,,,
36,tt13623580,2021-10-11,2021-10-11,,Reservation Dogs,https://www.imdb.com/title/tt13623580/,tvSeries,8.2,30,2021,"Comedy, Crime",5504,2021-08-08,,,
37,tt14449470,2021-10-11,2021-10-11,,FBI: International,https://www.imdb.com/title/tt14449470/,tvSeries,6.1,,2021,"Crime, Drama",1138,2021-09-21,,,
38,tt11525188,2021-10-11,2021-10-11,,Chapelwaite,https://www.imdb.com/title/tt11525188/,tvSeries,7.5,,2021,"Drama, Horror, Mystery",2983,2021-08-22,,,
39,tt13444408,2021-10-11,2021-10-11,,Kin,https://www.imdb.com/title/tt13444408/,tvSeries,7.8,,2021,"Crime, Drama",1196,2021-09-09,,,
40,tt9742936,2021-10-11,2021-10-11,,FBI: Most Wanted,https://www.imdb.com/title/tt9742936/,tvSeries,6.7,45,2020,"Action, Crime, Drama, Mystery, Thriller",5174,2020-01-07,,,
41,tt10839422,2021-10-11,2021-10-11,,Sex/Life,https://www.imdb.com/title/tt10839422/,tvSeries,5.3,,2021,"Comedy, Drama, Romance",16346,2021-06-25, N,,,
42,tt12682076,2021-10-11,2021-10-11,,The Wonder Years,https://www.imdb.com/title/tt12682076/,tvSeries,5.5,,2021,"Comedy, Drama, Family",1664,2021-09-22,,,
43,tt7660970,2021-10-11,2021-10-11,,The North Water,https://www.imdb.com/title/tt7660970/,tvMiniSeries,7.7,300,2021,"Drama, Mystery",5224,2021-07-15,,,
44,tt10048342,2021-10-11,2021-10-11,,The Queen's Gambit,https://www.imdb.com/title/tt10048342/,tvMiniSeries,8.6,395,2020,Drama,354876,2020-10-23, N,,,
45,tt11815682,2021-10-11,2021-10-11,,Hacks,https://www.imdb.com/title/tt11815682/,tvSeries,8.2,30,2021,"Comedy, Drama",12269,2021-05-13, H,,,
46,tt11698590,2021-10-11,2021-10-11,,Jaguar,https://www.imdb.com/title/tt11698590/,tvSeries,5.7,50,2021,"Action, Drama, History",999,2021-09-22, N,,,
47,tt11815758,2021-10-11,2021-10-11,,The Big Leap,https://www.imdb.com/title/tt11815758/,tvSeries,6.6,,2021,"Comedy, Drama",712,2021-09-20, h,,,
48,tt8722888,2021-10-11,2021-10-11,,Stargirl,https://www.imdb.com/title/tt8722888/,tvSeries,7.2,566,2020,"Action, Adventure, Crime, Drama, Fantasy, Sci-Fi",14043,2020-05-18, H,,,
49,tt10293938,2021-10-11,2021-10-11,,Outer Banks,https://www.imdb.com/title/tt10293938/,tvSeries,7.6,50,2020,"Action, Crime, Drama, Mystery, Romance, Thriller",36254,2020-04-15, N,,,
50,tt12326830,2021-10-11,2021-10-11,,The Sandman,https://www.imdb.com/title/tt12326830/,tvSeries,9.4,,2020,"Drama, Fantasy, Horror, Sci-Fi",715,2020-07-15,,,
51,tt9214684,2021-10-11,2021-10-11,,Home Economics,https://www.imdb.com/title/tt9214684/,tvSeries,6.3,30,2021,Comedy,1959,2021-04-07,,,
52,tt6554240,2021-10-11,2021-10-11,,Heels,https://www.imdb.com/title/tt6554240/,tvSeries,8.1,60,2021,"Drama, Sport",3330,2021-08-15,,,
53,tt9140560,2021-10-11,2021-10-11,,WandaVision,https://www.imdb.com/title/tt9140560/,tvMiniSeries,8.0,350,2021,"Action, Comedy, Drama, Fantasy, Sci-Fi",233846,2021-01-15, D,,,
54,tt11761176,2021-10-11,2021-10-11,,Power Book III: Raising Kanan,https://www.imdb.com/title/tt11761176/,tvSeries,7.3,60,2021,"Crime, Drama",1908,2021-07-18,,,
55,tt9184820,2021-10-11,2021-10-11,,Star Trek: Lower Decks,https://www.imdb.com/title/tt9184820/,tvSeries,7.1,25,2020,"Animation, Action, Adventure, Comedy, Sci-Fi",11774,2020-08-05,,,
56,tt11192306,2021-10-11,2021-10-11,,Superman and Lois,https://www.imdb.com/title/tt11192306/,tvSeries,7.9,42,2021,"Action, Adventure, Drama, Romance, Sci-Fi",21194,2021-02-23, H,,,
57,tt9077530,2021-10-11,2021-10-11,,Virgin River,https://www.imdb.com/title/tt9077530/,tvSeries,7.4,44,2019,"Drama, Romance",30608,2019-12-06, N,,,
58,tt12714854,2021-10-11,2021-10-11,,Mumbai Diaries 26/11,https://www.imdb.com/title/tt12714854/,tvSeries,8.8,,2021,"Drama, Thriller",26295,2021-08-26, P,,,
59,tt10731840,2021-10-11,2021-10-11,,The Premise,https://www.imdb.com/title/tt10731840/,tvSeries,6.1,30,2021,Drama,754,2021-09-16, H,,,
60,tt11547014,2021-10-11,2021-10-11,,Turner & Hooch,https://www.imdb.com/title/tt11547014/,tvSeries,6.5,,2021,"Comedy, Drama, Family",2467,2021-07-21,,,
61,tt11343600,2021-10-11,2021-10-11,,Brand New Cherry Flavor,https://www.imdb.com/title/tt11343600/,tvMiniSeries,7.2,342,2021,"Drama, Horror, Mystery, Thriller",9534,2021-08-13, N,,,
62,tt7821582,2021-10-11,2021-10-11,,Truth Be Told,https://www.imdb.com/title/tt7821582/,tvSeries,7.1,45,2019,"Crime, Drama, Mystery, Thriller",9199,2019-12-06, A,,,
63,tt10148174,2021-10-11,2021-10-11,,The Walking Dead: World Beyond,https://www.imdb.com/title/tt10148174/,tvSeries,4.2,60,2020,"Drama, Horror, Sci-Fi",11065,2020-10-01,,,
64,tt10788750,2021-10-11,2021-10-11,,Our Kind of People,https://www.imdb.com/title/tt10788750/,tvSeries,5.0,,2021,Drama,581,2021-09-21,,,
65,tt6741278,2021-10-11,2021-10-11,,Invincible,https://www.imdb.com/title/tt6741278/,tvSeries,8.7,50,2021,"Animation, Action, Adventure, Drama, Fantasy, Sci-Fi, Thriller",91416,2021-03-25, P,,,
66,tt7772588,2021-10-11,2021-10-11,,For All Mankind,https://www.imdb.com/title/tt7772588/,tvSeries,7.9,60,2019,"Drama, Sci-Fi",23987,2019-10-15, A,,,
67,tt11612120,2021-10-11,2021-10-11,,Sweet Home,https://www.imdb.com/title/tt11612120/,tvSeries,7.4,52,2020,"Drama, Fantasy, Horror, Thriller",14243,2020-12-18, N,,,
68,tt9179552,2021-10-11,2021-10-11,,Dr. Death,https://www.imdb.com/title/tt9179552/,tvSeries,7.7,,2021,"Crime, Drama, Thriller",7336,2021-07-15,,,
69,tt8543390,2021-10-11,2021-10-11,,Modern Love,https://www.imdb.com/title/tt8543390/,tvSeries,8.0,32,2019,"Comedy, Romance",28296,2019-10-17, P,,,
70,tt10590066,2021-10-11,2021-10-11,,All Creatures Great and Small,https://www.imdb.com/title/tt10590066/,tvSeries,8.4,,2020,"Comedy, Drama",5645,2020-09-01,,,
71,tt2403776,2021-10-11,2021-10-11,,Shadow and Bone,https://www.imdb.com/title/tt2403776/,tvSeries,7.7,,2021,"Action, Adventure, Drama, Fantasy, Mystery",65675,2021-04-23, N,,,
72,tt10580064,2021-10-11,2021-10-11,,Most Dangerous Game,https://www.imdb.com/title/tt10580064/,tvSeries,7.0,7,2020,"Short, Action, Thriller",4603,2020-04-06,,,
73,tt11917456,2021-10-11,2021-10-11,,Hollington Drive,https://www.imdb.com/title/tt11917456/,tvSeries,4.5,60,2021,Thriller,167,2021-09-29,,,
74,tt10919486,2021-10-11,2021-10-11,,Into the Night,https://www.imdb.com/title/tt10919486/,tvSeries,7.1,,2020,"Drama, Sci-Fi, Thriller",27438,2020-05-01, N,,,
75,tt11204154,2021-10-11,2021-10-11,,Furia,https://www.imdb.com/title/tt11204154/,tvSeries,6.7,,2021,Thriller,523,2021-09-26,,,
76,tt13784584,2021-10-11,2021-10-11,,Fantasy Island,https://www.imdb.com/title/tt13784584/,tvSeries,6.0,,2021,"Adventure, Drama, Fantasy, Mystery",2465,2021-08-10,,,
77,tt9839146,2021-10-11,2021-10-11,,Blood & Water,https://www.imdb.com/title/tt9839146/,tvSeries,6.5,53,2020,"Drama, Mystery",2563,2020-05-20, N,,,
78,tt7661384,2021-10-11,2021-10-11,,The L Word: Generation Q,https://www.imdb.com/title/tt7661384/,tvSeries,7.4,55,2019,Drama,4888,2019-12-08,,,
79,tt14518756,2021-10-11,2021-10-11,,Gaetmaeul Chachacha,https://www.imdb.com/title/tt14518756/,tvSeries,9.0,70,2021,"Comedy, Romance",2176,2021-08-28, N,,,
80,tt7569576,2021-10-11,2021-10-11,,The Flight Attendant,https://www.imdb.com/title/tt7569576/,tvSeries,7.1,,2020,"Comedy, Drama, Mystery, Thriller",37076,2020-11-18, H,,,
81,tt11834150,2021-10-11,2021-10-11,,The Chair,https://www.imdb.com/title/tt11834150/,tvSeries,7.2,30,2021,"Comedy, Drama",11705,2021-08-20, N,,,
82,tt13024974,2021-10-11,2021-10-11,,D.P.,https://www.imdb.com/title/tt13024974/,tvSeries,8.4,50,2021,"Action, Crime, Drama",2453,2021-08-27, N,,,
83,tt10323338,2021-10-11,2021-10-11,,9-1-1: Lone Star,https://www.imdb.com/title/tt10323338/,tvSeries,6.9,43,2020,"Action, Drama, Thriller",10092,2020-01-19,,,
84,tt12887536,2021-10-11,2021-10-11,,CSI: Vegas,https://www.imdb.com/title/tt12887536/,tvSeries,8.0,,2021,Crime,656,2021-10-06,,,
85,tt13196080,2021-10-11,2021-10-11,,Tokyo Revengers,https://www.imdb.com/title/tt13196080/,tvSeries,8.4,24,2021,"Animation, Action, Drama, Sci-Fi",6573,2021-04-10, H,,,
86,tt10516352,2021-10-11,2021-10-11,,Ask 101,https://www.imdb.com/title/tt10516352/,tvSeries,7.5,40,2020,"Comedy, Drama, Romance",11763,2020-04-24, N,,,
87,tt9208876,2021-10-11,2021-10-11,,The Falcon and the Winter Soldier,https://www.imdb.com/title/tt9208876/,tvMiniSeries,7.3,50,2021,"Action, Adventure, Drama, Sci-Fi",160219,2021-03-19, D,,,
88,tt3007572,2021-10-11,2021-10-11,,Locke & Key,https://www.imdb.com/title/tt3007572/,tvSeries,7.4,48,2020,"Drama, Fantasy, Horror, Mystery, Thriller",50728,2020-02-07, N,,,
89,tt2531336,2021-10-11,2021-10-11,,Lupin,https://www.imdb.com/title/tt2531336/,tvSeries,7.5,45,2021,"Action, Crime, Drama, Mystery",90671,2021-01-08, N,,,
90,tt11006642,2021-10-11,2021-10-11,,Walker,https://www.imdb.com/title/tt11006642/,tvSeries,6.0,,2021,"Action, Crime, Drama, Western",7763,2021-01-21, H,,,
91,tt5540990,2021-10-11,2021-10-11,,On the Verge,https://www.imdb.com/title/tt5540990/,tvSeries,6.5,35,2021,Comedy,1952,2021-08-31, N,,,
92,tt10653784,2021-10-11,2021-10-11,,Gossip Girl,https://www.imdb.com/title/tt10653784/,tvSeries,5.3,60,2021,"Drama, Romance",6417,2021-07-08,,,
93,tt8806524,2021-10-11,2021-10-11,,Star Trek: Picard,https://www.imdb.com/title/tt8806524/,tvSeries,7.5,46,2020,"Action, Adventure, Drama, Sci-Fi",49968,2020-01-13, H,,,
94,tt12994356,2021-10-11,2021-10-11,,The Cleaner,https://www.imdb.com/title/tt12994356/,tvSeries,7.0,30,2021,Comedy,1322,2021-09-10,,,
95,tt10971064,2021-10-11,2021-10-11,,Mr. Corman,https://www.imdb.com/title/tt10971064/,tvSeries,6.4,,2021,"Comedy, Drama",3116,2021-08-06, A,,,
96,tt5607976,2021-10-11,2021-10-11,,His Dark Materials,https://www.imdb.com/title/tt5607976/,tvSeries,7.9,60,2019,"Adventure, Drama, Family, Fantasy",57586,2019-11-03, H,,,
97,tt10062292,2021-10-11,2021-10-11,,Never Have I Ever,https://www.imdb.com/title/tt10062292/,tvSeries,7.9,30,2020,"Comedy, Drama",39744,2020-04-27, N,,,
98,tt11904786,2021-10-11,2021-10-11,,Love on the Spectrum,https://www.imdb.com/title/tt11904786/,tvSeries,8.6,,2019,"Documentary, Reality-TV, Romance",4285,2019-11-19, N,,,
99,tt12225230,2021-10-11,2021-10-11,,"Doogie Kamealoha, M.D.",https://www.imdb.com/title/tt12225230/,tvSeries,5.7,30,2021,"Comedy, Drama, Family",928,2021-09-08,,,
100,tt9170108,2021-10-11,2021-10-11,,Raised by Wolves,https://www.imdb.com/title/tt9170108/,tvSeries,7.5,,2020,"Drama, Fantasy, Sci-Fi, Thriller",57537,2020-09-03, H,,,
101,tt8962124,2021-10-11,2021-10-11,,Emily in Paris,https://www.imdb.com/title/tt8962124/,tvSeries,7.0,30,2020,"Comedy, Drama, Romance",58933,2020-10-02, N,,,
102,tt12809988,2021-10-11,2021-10-11,,Sweet Tooth,https://www.imdb.com/title/tt12809988/,tvSeries,7.9,,2021,"Action, Adventure, Drama, Fantasy, Sci-Fi",42950,2021-06-04, N,,,
103,tt15287836,2021-10-11,2021-10-11,,Monsters Inside: The 24 Faces of Billy Milligan,https://www.imdb.com/title/tt15287836/,tvMiniSeries,6.2,,2021,"Documentary, Crime",1331,2021-09-22, N,,,
104,tt10140028,2021-10-11,2021-10-11,,Q-Force,https://www.imdb.com/title/tt10140028/,tvSeries,6.3,30,2021,"Animation, Action, Adventure, Comedy, Crime, Fantasy, Sci-Fi",3402,2021-09-02, N,,,
105,tt8879940,2021-10-11,2021-10-11,,Mythic Quest: Raven's Banquet,https://www.imdb.com/title/tt8879940/,tvSeries,7.7,30,2020,Comedy,17185,2020-02-07, A,,,
106,tt8134470,2021-10-11,2021-10-11,,The Undoing,https://www.imdb.com/title/tt8134470/,tvMiniSeries,7.4,337,2020,"Crime, Drama, Mystery, Thriller",77564,2020-10-25, H,,,
107,tt15084142,2021-10-11,2021-10-11,,The Problem with Jon Stewart,https://www.imdb.com/title/tt15084142/,tvSeries,8.0,,2021,Talk-Show,321,2021-09-30, A,,,
108,tt1831804,2021-10-11,2021-10-11,,The Stand,https://www.imdb.com/title/tt1831804/,tvSeries,5.5,510,2020,"Adventure, Drama, Fantasy, Horror, Sci-Fi, Thriller",21223,2020-12-16,,,
109,tt9686194,2021-10-11,2021-10-11,,War of the Worlds,https://www.imdb.com/title/tt9686194/,tvSeries,6.4,49,2019,"Drama, Mystery, Sci-Fi",10933,2019-10-28,,,
110,tt9900092,2021-10-11,2021-10-11,,Motherland: Fort Salem,https://www.imdb.com/title/tt9900092/,tvSeries,7.3,,2020,"Drama, Fantasy, Sci-Fi, Thriller",11300,2020-03-18,,,
111,tt8697870,2021-10-11,2021-10-11,,The Nevers,https://www.imdb.com/title/tt8697870/,tvSeries,7.4,58,2021,"Action, Drama, Fantasy, Sci-Fi, Thriller",17799,2021-04-11, H,,,
112,tt8879894,2021-10-11,2021-10-11,,Shadowplay,https://www.imdb.com/title/tt8879894/,tvSeries,7.1,45,2020,"Drama, Thriller",3694,2020-10-10, H,,,
113,tt6156584,2021-10-11,2021-10-11,,Snowpiercer,https://www.imdb.com/title/tt6156584/,tvSeries,6.9,60,2020,"Action, Drama, Sci-Fi, Thriller",41252,2020-05-17, H,,,
114,tt10380768,2021-10-11,2021-10-11,,Love Life,https://www.imdb.com/title/tt10380768/,tvSeries,7.5,35,2020,"Comedy, Romance",10426,2020-05-27,,,
115,tt13357140,2021-10-11,2021-10-11,,Hanma Baki: Son of Ogre,https://www.imdb.com/title/tt13357140/,tvSeries,6.7,25,2021,"Animation, Action, Drama, Sport, Thriller",463,2021-09-30,,,
116,tt8089592,2021-10-11,2021-10-11,,Little Fires Everywhere,https://www.imdb.com/title/tt8089592/,tvMiniSeries,7.7,463,2020,Drama,36103,2020-03-18, h,,,
117,tt9059760,2021-10-11,2021-10-11,,Normal People,https://www.imdb.com/title/tt9059760/,tvMiniSeries,8.5,339,2020,"Drama, Romance",50376,2020-04-26, h,,,
118,tt7177890,2021-10-11,2021-10-11,,Tell Me Your Secrets,https://www.imdb.com/title/tt7177890/,tvSeries,7.4,,2021,"Crime, Drama, Mystery, Thriller",7555,2021-02-19, P,,,
119,tt8690918,2021-10-11,2021-10-11,,Resident Alien,https://www.imdb.com/title/tt8690918/,tvSeries,8.2,44,2021,"Comedy, Drama, Mystery, Sci-Fi",25138,2021-01-27,,,
120,tt12708542,2021-10-11,2021-10-11,,Star Wars: The Bad Batch,https://www.imdb.com/title/tt12708542/,tvSeries,8.0,,2021,"Animation, Action, Adventure, Drama, Fantasy, Sci-Fi",19995,2021-05-04, D,,,
121,tt7049682,2021-10-11,2021-10-11,,Watchmen,https://www.imdb.com/title/tt7049682/,tvMiniSeries,8.2,527,2019,"Action, Drama, Mystery, Sci-Fi",104157,2019-10-20, H,,,
122,tt12343534,2021-10-11,2021-10-11,,Jujutsu Kaisen,https://www.imdb.com/title/tt12343534/,tvSeries,8.7,24,2020,"Animation, Action, Adventure, Fantasy, Thriller",30899,2020-10-02,,,
123,tt15125616,2021-10-11,2021-10-11,,Chicago Party Aunt,https://www.imdb.com/title/tt15125616/,tvSeries,5.3,30,2021,"Animation, Comedy",719,2021-09-17, N,,,
124,tt6905686,2021-10-11,2021-10-11,,Lovecraft Country,https://www.imdb.com/title/tt6905686/,tvSeries,7.1,60,2020,"Drama, Fantasy, Horror, Mystery, Sci-Fi, Thriller",36072,2020-08-16, H,,,
